time,temperature_2m_max,temperature_2m_min,temperature_2m_mean,precipitation_sum,windspeed_10m_max,sunshine_duration,city,latitude,longitude
2023-01-01,24.3,13.0,17.5,4.1,9.3,34823.95,Medellín,6.2518,-75.5636
2023-01-02,25.4,11.8,17.6,1.3,8.8,38378.25,Medellín,6.2518,-75.5636
2023-01-03,23.5,14.2,18.1,4.4,8.2,36538.94,Medellín,6.2518,-75.5636
2023-01-04,25.1,13.5,18.8,0.2,8.7,38465.45,Medellín,6.2518,-75.5636
2023-01-05,24.5,14.9,18.4,9.5,7.2,34489.65,Medellín,6.2518,-75.5636
2023-01-06,24.3,14.9,17.8,17.7,5.9,28728.73,Medellín,6.2518,-75.5636
2023-01-07,23.8,14.5,18.1,3.7,5.2,24139.25,Medellín,6.2518,-75.5636
2023-01-08,23.8,15.3,18.3,8.3,8.8,29968.62,Medellín,6.2518,-75.5636
2023-01-09,24.1,13.7,18.0,7.6,10.3,34848.26,Medellín,6.2518,-75.5636
2023-01-10,21.7,14.8,17.7,10.5,6.8,21149.97,Medellín,6.2518,-75.5636
2023-01-11,25.2,15.2,18.4,7.8,8.9,29684.4,Medellín,6.2518,-75.5636
2023-01-12,24.7,14.8,18.6,2.9,6.5,34366.04,Medellín,6.2518,-75.5636
2023-01-13,25.7,14.8,18.5,7.9,10.0,32564.4,Medellín,6.2518,-75.5636
2023-01-14,24.1,14.6,18.3,4.7,10.2,29617.14,Medellín,6.2518,-75.5636
2023-01-15,24.4,14.2,18.6,0.0,9.5,38616.91,Medellín,6.2518,-75.5636
2023-01-16,25.2,14.3,18.4,1.0,7.4,35678.32,Medellín,6.2518,-75.5636
2023-01-17,24.0,13.8,18.3,9.6,8.0,25200.0,Medellín,6.2518,-75.5636
2023-01-18,24.2,13.0,17.9,1.1,12.2,32572.5,Medellín,6.2518,-75.5636
2023-01-19,25.1,13.6,18.2,0.0,11.1,38729.2,Medellín,6.2518,-75.5636
2023-01-20,24.5,12.4,17.7,0.6,10.1,38772.17,Medellín,6.2518,-75.5636
2023-01-21,24.1,14.3,17.9,1.3,10.0,37997.15,Medellín,6.2518,-75.5636
2023-01-22,24.3,14.0,18.3,0.6,10.7,35497.34,Medellín,6.2518,-75.5636
2023-01-23,25.1,13.6,18.5,0.7,13.7,37428.14,Medellín,6.2518,-75.5636
2023-01-24,25.6,14.2,18.5,0.2,11.6,34955.93,Medellín,6.2518,-75.5636
2023-01-25,26.2,12.9,18.9,0.0,11.4,38872.14,Medellín,6.2518,-75.5636
2023-01-26,26.5,14.2,19.3,0.1,12.7,38894.3,Medellín,6.2518,-75.5636
